"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Josh Allen","QB","BUF","12","23.7","22.3","36.5","28.8","14.9","25.3","30.1","25.7","16.4","23.5","40.7","BYE","21.5","16.2","26","22.2","25.1","24.2","410.6"
"2","CeeDee Lamb","WR","DAL","11.7","25.3","10.2","14.8","8.9","18.7","BYE","41","28.1","39.5","16.5","17.3","32.6","19.1","18.6","25.2","40.2","35.5","23.7","403.2"
"3","Christian McCaffrey","RB","SF","25.9","22.5","22.9","48.7","13.8","14.2","22.6","29.8","BYE","20.2","21.3","30.9","22.3","16.3","41.7","25.1","13.1","-","24.5","391.3"
"4","Tyreek Hill","WR","MIA","44.5","15","30.7","10.2","32.1","28.3","25.8","25.2","12.5","BYE","30.6","25.4","32.3","10.1","-","18.9","13.6","21.2","23.5","376.4"
"5","Jalen Hurts","QB","PHI","12.5","26.2","21.9","24.2","28.3","22.9","24.3","27.4","25.9","BYE","19.9","35.5","23.9","8.9","23.9","24.4","20.2","1.6","21.9","371.8"
"6","Dak Prescott","QB","DAL","6.3","19.6","15.4","14.3","7.3","24.9","BYE","29.1","28.4","38.9","16.2","32.2","28.3","17.9","7.1","18.6","21.3","26.2","20.7","351.8"
"7","Lamar Jackson","QB","BAL","7.6","22.9","28.2","28.1","10.9","18.1","33.9","12","11.5","15","24","15","BYE","32.6","19.5","22.6","36.3","-","21.1","338.2"
"8","Amon-Ra St. Brown","WR","DET","19.1","14.2","19.6","16.6","-","30.4","23.2","16.8","BYE","30.5","21.7","18.5","12.9","5.1","24.2","28.6","22.1","27.4","20.7","330.9"
"9","Jordan Love","QB","GB","23","20.3","25.3","19.6","8","BYE","16.3","15.6","13.8","18.7","20.9","26.6","23.7","9.9","17.5","24","28.4","18.5","19.4","330.1"
"10","Brock Purdy","QB","SF","16.8","14.7","20.3","21.3","26.1","8.7","14.8","20.3","BYE","23.8","26.7","11.5","29.5","22.4","25.7","6.4","17.6","-","19.2","306.6"
"11","Jared Goff","QB","DET","14","23.9","19","12.4","27.4","22.4","10.4","13.7","BYE","21.1","16.7","18.2","16.3","6.4","31.1","14.3","12.8","20.8","17.7","301.1"
"12","Puka Nacua","WR","LAR","21.9","30.1","12.2","31.3","20.1","6.6","23.4","7.3","6.2","BYE","18.7","6.7","23.9","14","10.3","33","18.7","14.1","17.6","298.5"
"13","Patrick Mahomes II","QB","KC","20.5","22.2","25.7","15.2","19.2","18.3","34.9","7.6","15.8","BYE","17.9","20.8","14","14.6","17.7","17.7","12","-","18.4","294.2"
"14","Breece Hall","RB","NYJ","15.7","0.9","3.7","9.9","28.4","20.3","BYE","21.3","10","10.5","18.3","11.9","10.5","26.6","2.8","43.1","27.6","29","17.1","290.5"
"15","A.J. Brown","WR","PHI","14.9","6.9","22.1","38.5","18.7","20.1","29.7","33","19.6","BYE","1.8","14.7","19.4","16.4","10.6","14","9.3","-0.1","17","289.6"
"16","DJ Moore","WR","CHI","4.5","16.4","13.1","27.1","49","10.1","13.4","9.5","5.4","10.9","22.6","22.4","BYE","26.8","9.2","4.8","30.9","10.4","16.9","286.5"
"17","Tua Tagovailoa","QB","MIA","28.1","13.3","28.4","15","18.9","22.5","11.3","22.8","12.4","BYE","18.6","9.8","19.2","9.1","13","15.5","16.9","9.6","16.7","284.4"
"18","Baker Mayfield","QB","TB","16","18.4","11","23.9","BYE","7.8","17.2","21.4","19","19.3","11.3","14.4","10.9","20.1","29","19.8","18.3","6.2","16.7","284.1"
"19","Mike Evans","WR","TB","18.6","29.1","17","7","BYE","8.9","20.2","12.9","12.7","26.3","15.3","25","29.2","1.8","15.7","27.6","10","5.2","16.6","282.5"
"20","Travis Etienne Jr.","RB","JAC","21.4","6.2","17.8","10.2","36.4","23.3","22.7","25.9","BYE","6.4","8.9","12.6","17.9","17.2","9.9","6.1","25.8","13.7","16.6","282.4"
"21","C.J. Stroud","QB","HOU","10.7","21.5","20.6","21.8","14.2","15.2","BYE","12.9","41.8","20","18.3","30.9","16.1","3.6","-","-","12.9","20.6","18.7","281"
